section,Type,Start_X,Start_Y,End_X,End_Y,Center_X,Center_Y,Radius,Start_Angle (deg),End_Angle (deg),length,Direction
73,ARC,34.78974705,30.66186218,35.08581423,37.09782933,33.82849053,33.93087529,3.407412628,286.3860249,68.34625115,8.442455474,Counterclockwise
74,ARC,35.08581423,37.09782933,35.67815345,49.22913588,37.45379849,43.06232144,6.417360484,248.3462512,106.06299,15.9363043,Clockwise
75,ARC,35.67815345,49.22913588,36.59053434,63.38372199,33.59318576,56.47022773,7.535283761,286.06299,66.56083461,18.47764593,Counterclockwise
76,ARC,36.59053434,63.38372199,35.30153168,68.37365082,37.88993481,66.38083676,3.266670872,246.5608346,142.4072914,5.938227015,Clockwise
77,ARC,35.30153168,68.37365082,29.07993346,74.88782771,31.69097152,71.15342455,4.556674962,322.4072914,124.9606622,12.92770394,Counterclockwise
78,ARC,29.07993346,74.88782771,25.58764694,82.23924528,27.22866095,78.51359491,4.071043806,297.0483023,113.7717528,13.02237038,Clockwise
79,ARC,25.58764694,82.23924528,22.42575684,88.90012347,24.100994,85.61444443,3.688103344,293.7717528,117.0152272,11.79529935,Counterclockwise
80,ARC,22.42575684,88.90012347,15.03520774,97.09020536,19.83135938,93.9885716,5.711672483,297.0152272,147.109567,14.9437191,Clockwise
81,ARC,15.03520774,97.09020536,8.099187911,103.4000433,11.04473502,99.67081287,4.752200293,327.109567,128.3035799,13.36967996,Counterclockwise
82,ARC,8.099187911,103.4000433,1.29603E-12,105.3211487,4.809626205,107.5648159,5.307216461,308.3035799,205.0088218,9.568028308,Clockwise
,,,,,,,,,,all,1209.308649,
